year,ebi,entropy,top3_concentration,spectral_gap,episode
2002,2.923180880032406,3.6175965598131246,0.19195498124218424,0.3128862829810648,2008 GFC
2003,2.8601746363682805,3.595668982339389,0.20455007109486084,0.3053581842863605,2008 GFC
2004,2.9146685375460533,3.603238239490045,0.19109746738296243,0.2617477447812957,2008 GFC
2005,2.981618463765945,3.6220414592804384,0.1768127181077937,0.27686357691420527,2008 GFC
2006,2.975486463430971,3.6507391419947464,0.18496327792810205,0.22477139583734684,2008 GFC
2007,2.9760667090381943,3.620274093620016,0.17794436772538963,0.2208241001552439,2008 GFC
2008,3.1151760237607014,3.6644894756048,0.14990176817288803,0.27794694580333146,2008 GFC
2009,2.9644025762179647,3.5784024492822186,0.1715849130349814,0.14655584679776623,2008 GFC
2015,2.9635029670708803,3.6327516076049684,0.18422636965683323,0.13890136576052792,2020 COVID (negative control)
2016,2.964404437867971,3.582964062137143,0.17263908137002573,0.12489063828692026,2020 COVID (negative control)
2017,3.07079637910921,3.643317737926181,0.15714285714285714,0.18301016672876957,2020 COVID (negative control)
2018,3.0755531960336873,3.6768004891338544,0.16352459016393442,0.2173009996127785,2020 COVID (negative control)
2019,3.131034235614105,3.6725418264586245,0.14744763066910718,0.19193285406449034,2020 COVID (negative control)
2020,2.9618304246403384,3.6049341996642124,0.17839542676917014,0.1733148922275103,2020 COVID (negative control)
2021,3.0080170647990827,3.6404535489832996,0.17372464053574943,0.1747732007508782,2020 COVID (negative control)
2010,3.046602998323053,3.6387416374750985,0.16273170731707318,0.1391488539910628,calm_post_gfc_recovery
2011,3.1203345734520913,3.6646198073988328,0.14852433882713684,0.18086093153600258,calm_post_gfc_recovery
2012,3.0133976260468627,3.61976499961007,0.16751567398119122,0.13079347920644802,calm_post_gfc_recovery
2013,2.951966916008105,3.577105738211665,0.17476106885118003,0.18678377595270224,calm_post_gfc_recovery
2014,2.959674424513325,3.629544761528996,0.18456042865647945,0.1588611819869442,calm_post_gfc_recovery
2015,2.9635029670708803,3.6327516076049684,0.18422636965683323,0.13890136576052792,calm_pre_covid_expansion
2016,2.964404437867971,3.582964062137143,0.17263908137002573,0.12489063828692026,calm_pre_covid_expansion
2017,3.07079637910921,3.643317737926181,0.15714285714285714,0.18301016672876957,calm_pre_covid_expansion
2018,3.0755531960336873,3.6768004891338544,0.16352459016393442,0.2173009996127785,calm_pre_covid_expansion
2019,3.131034235614105,3.6725418264586245,0.14744763066910718,0.19193285406449034,calm_pre_covid_expansion
