sector,betweenness,in_degree,out_degree
Utilities,0.0913613749434645,0.29850746268656714,0.3283582089552239
Chemical products,0.08163726820443239,0.31343283582089554,0.23880597014925373
Rental and leasing services and lessors of intangible assets,0.07914970601537766,0.26865671641791045,0.4626865671641791
Administrative and support services,0.06671189507010403,0.4925373134328358,0.34328358208955223
"Miscellaneous professional, scientific, and technical services",0.0540479421076436,0.582089552238806,0.3880597014925373
Wholesale trade,0.04997738579828132,0.5671641791044776,0.2537313432835821
Fabricated metal products,0.046359113523292625,0.16417910447761194,0.29850746268656714
"Other services, except government",0.039122568973315244,0.44776119402985076,0.3283582089552239
Insurance carriers and related activities,0.03505201266395296,0.26865671641791045,0.19402985074626866
"Publishing industries, except internet (includes software)",0.0336951605608322,0.29850746268656714,0.22388059701492538
"Amusements, gambling, and recreation industries",0.030981456354590684,0.07462686567164178,0.2835820895522388
Management of companies and enterprises,0.030529172320217096,0.29850746268656714,0.3582089552238806
"Securities, commodity contracts, and investments",0.029624604251469924,0.31343283582089554,0.22388059701492538
Paper products,0.029624604251469924,0.14925373134328357,0.31343283582089554
Textile mills and textile product mills,0.028946178199909543,0.05970149253731343,0.26865671641791045
Petroleum and coal products,0.02736318407960199,0.07462686567164178,0.2537313432835821
Food and beverage and tobacco products,0.027137042062415198,0.3283582089552239,0.1791044776119403
Printing and related support activities,0.02668475802804161,0.07462686567164178,0.31343283582089554
Machinery,0.026458616010854818,0.22388059701492538,0.23880597014925373
Other real estate,0.026458616010854818,0.3283582089552239,0.40298507462686567
Legal services,0.02600633197648123,0.2835820895522388,0.40298507462686567
Accommodation,0.02397105382180009,0.1791044776119403,0.3283582089552239
Farms,0.023744911804613297,0.14925373134328357,0.05970149253731343
Plastics and rubber products,0.022388059701492536,0.14925373134328357,0.3283582089552239
State and local government enterprises,0.02125734961555857,0.22388059701492538,0.34328358208955223
Miscellaneous manufacturing,0.01990049751243781,0.16417910447761194,0.22388059701492538
"Motor vehicles, bodies and trailers, and parts",0.018995929443690638,0.2835820895522388,0.1791044776119403
Other transportation and support activities,0.018317503392130258,0.14925373134328357,0.19402985074626866
Educational services,0.018091361374943465,0.11940298507462686,0.13432835820895522
"Mining, except oil and gas",0.01786521935775667,0.07462686567164178,0.19402985074626866
Other transportation equipment,0.017412935323383085,0.16417910447761194,0.11940298507462686
Computer systems design and related services,0.016734509271822705,0.208955223880597,0.34328358208955223
Furniture and related products,0.016282225237449117,0.1044776119402985,0.1044776119402985
Computer and electronic products,0.015603799185888738,0.19402985074626866,0.29850746268656714
Construction,0.015151515151515152,0.44776119402985076,0.16417910447761194
Oil and gas extraction,0.015151515151515152,0.13432835820895522,0.07462686567164178
Broadcasting and telecommunications,0.013342379014020805,0.3731343283582089,0.2835820895522388
"Data processing, internet publishing, and other information services",0.011759384893713252,0.029850746268656716,0.3880597014925373
Food services and drinking places,0.009271822704658525,0.40298507462686567,0.31343283582089554
"Federal Reserve banks, credit intermediation, and related activities",0.009045680687471733,0.3283582089552239,0.26865671641791045
Air transportation,0.008593396653098146,0.11940298507462686,0.3283582089552239
Rail transportation,0.007462686567164179,0.07462686567164178,0.13432835820895522
Nonmetallic mineral products,0.005879692446856626,0.05970149253731343,0.16417910447761194
Primary metals,0.005427408412483039,0.1044776119402985,0.14925373134328357
Federal government enterprises,0.004522840343735866,0.07462686567164178,0.26865671641791045
"Electrical equipment, appliances, and components",0.004296698326549073,0.1044776119402985,0.22388059701492538
Waste management and remediation services,0.003844414292175486,0.05970149253731343,0.2537313432835821
Truck transportation,0.003618272274988693,0.1791044776119403,0.11940298507462686
Wood products,0.002939846223428313,0.05970149253731343,0.14925373134328357
"Performing arts, spectator sports, museums, and related activities",0.0024875621890547263,0.07462686567164178,0.208955223880597
Water transportation,0.0006784260515603799,0.05970149253731343,0.08955223880597014
Warehousing and storage,0.0006784260515603799,0.029850746268656716,0.208955223880597
Motion picture and sound recording industries,0.0004522840343735866,0.05970149253731343,0.05970149253731343
Transit and ground passenger transportation,0.0,0.0,0.2835820895522388
Pipeline transportation,0.0,0.0,0.014925373134328358
Hospitals,0.0,0.3283582089552239,0.014925373134328358
Ambulatory health care services,0.0,0.3880597014925373,0.05970149253731343
Apparel and leather and allied products,0.0,0.029850746268656716,0.19402985074626866
Social assistance,0.0,0.11940298507462686,0.014925373134328358
Nursing and residential care facilities,0.0,0.08955223880597014,0.029850746268656716
Federal general government (defense),0.0,0.40298507462686567,0.0
Housing,0.0,0.04477611940298507,0.0
Other retail,0.0,0.47761194029850745,0.014925373134328358
Support activities for mining,0.0,0.1044776119402985,0.04477611940298507
Federal general government (nondefense),0.0,0.2537313432835821,0.0
State and local general government,0.0,0.7014925373134329,0.0
"Forestry, fishing, and related activities",0.0,0.014925373134328358,0.11940298507462686
"Funds, trusts, and other financial vehicles",0.0,0.029850746268656716,0.04477611940298507
